iter	Logloss
0	0.6922330708
1	0.6913500376
2	0.6904904064
3	0.6896619253
4	0.6887963646
5	0.6879016303
6	0.6869670492
7	0.6861339826
8	0.6852887406
9	0.6844587573
10	0.6835576981
11	0.6828290712
12	0.6819760021
13	0.681081505
14	0.6802115169
15	0.6793603452
16	0.6785966152
17	0.6777863181
18	0.6769029686
19	0.6761090373
20	0.6752471924
21	0.6744202135
22	0.6737083475
23	0.672888405
24	0.6720399214
25	0.6712107288
26	0.6703646961
27	0.6695162916
28	0.6687604677
29	0.6680201397
30	0.6672617858
31	0.6665212997
32	0.6657635783
33	0.6650512379
34	0.664299367
35	0.6635986486
36	0.6628425084
37	0.6620960137
38	0.6614417042
39	0.6607297196
40	0.6600846207
41	0.6594059208
42	0.6586426256
43	0.6579516317
44	0.65736824
45	0.6566623826
46	0.656005385
47	0.6552657686
48	0.6546312639
49	0.6539749383
50	0.6534044335
51	0.6526868751
52	0.6520309844
53	0.6515259422
54	0.6508897376
55	0.6502028549
56	0.6496430629
57	0.6489916787
58	0.6483044007
59	0.647641513
60	0.6469694543
61	0.646353608
62	0.6456584239
63	0.6450060909
64	0.6443534021
65	0.6436559647
66	0.6429973859
67	0.6423341425
68	0.6416961196
69	0.641119448
70	0.6405105986
71	0.6399982037
72	0.6393714865
73	0.6388476278
74	0.6382904053
75	0.6377381636
76	0.6371440591
77	0.6365451319
78	0.6359939575
79	0.6353527326
80	0.6348087924
81	0.6342067817
82	0.633651259
83	0.633046758
84	0.6324606782
85	0.6318998584
86	0.6312816007
87	0.6306560694
88	0.6301012583
89	0.6295964928
90	0.6290248812
91	0.6284698724
92	0.6279234417
93	0.6273538856
94	0.6268453252
95	0.6263468846
96	0.6258385614
97	0.6252858849
98	0.6247604844
99	0.6242103379
100	0.62374451
101	0.6232378866
102	0.6227191668
103	0.6222363408
104	0.6216884475
105	0.6211700044
106	0.6206453551
107	0.6201065933
108	0.6195794931
109	0.6191035058
110	0.6185661672
111	0.6180882429
112	0.6175957714
113	0.6171133012
114	0.6165967556
115	0.6160804867
116	0.6155830344
117	0.6150495697
118	0.6145673366
119	0.6140822969
120	0.6136010126
121	0.6131204002
122	0.6127024043
123	0.6122423874
124	0.6118170387
125	0.6113832306
126	0.6109051482
127	0.6104646198
128	0.6100352391
129	0.6095780289
130	0.6091261157
131	0.608634593
132	0.608230828
133	0.6078290791
134	0.6073768102
135	0.6069600792
136	0.6066546267
137	0.6062125567
138	0.6058002531
139	0.6053721374
140	0.6049488443
141	0.6045063394
142	0.6041292576
143	0.6036752493
144	0.6032536956
145	0.6028510771
146	0.6024729674
147	0.6020613754
148	0.6016226655
149	0.6011561656
150	0.6007632715
151	0.6003589531
152	0.5999920702
153	0.59959127
154	0.599160229
155	0.5988392015
156	0.5984797898
157	0.5980744831
158	0.5977003661
159	0.5973018587
160	0.5969173846
161	0.5965466277
162	0.5961217534
163	0.5957289384
164	0.5953419344
165	0.594982839
166	0.5946530357
167	0.5942920428
168	0.5938888708
169	0.5935647204
170	0.5931763328
171	0.5928241157
172	0.5924788559
173	0.5920692404
174	0.5917076546
175	0.5913131793
176	0.5909698565
177	0.5906310007
178	0.5903044389
179	0.589907829
180	0.5895380208
181	0.5891860408
182	0.5888361165
183	0.5885323638
184	0.588179277
185	0.5878961593
186	0.5875248094
187	0.5872327577
188	0.5869552533
189	0.5866205482
190	0.586285013
191	0.5859412949
192	0.5856198326
193	0.5853138662
194	0.5849474181
195	0.5846163102
196	0.5843193173
197	0.5839665863
198	0.5836477329
199	0.5833082446
200	0.58301813
201	0.5826934261
202	0.5823963146
203	0.5820612537
204	0.5817241768
205	0.5814507045
206	0.5812192927
207	0.5809288223
208	0.5806412376
209	0.5803216727
210	0.5800152714
211	0.5796947578
212	0.5794034572
213	0.5790908102
214	0.5788356801
215	0.578535999
216	0.5782111766
217	0.5779427642
218	0.5776469967
219	0.5774009191
220	0.5771082745
221	0.5767938485
222	0.5765050384
223	0.5762807421
224	0.5759890067
225	0.5757084189
226	0.5754559769
227	0.575126055
228	0.5748751942
229	0.5745980851
230	0.5743214899
231	0.5740558051
232	0.573756638
233	0.5735077932
234	0.5732734957
235	0.5730232278
236	0.5727565548
237	0.572487589
238	0.5722000834
239	0.5719280342
240	0.5716776477
241	0.5714063496
242	0.5710997507
243	0.5708725687
244	0.5706265702
245	0.5704023134
246	0.5702088905
247	0.5699303187
248	0.5696382671
249	0.56942583
250	0.5691615288
251	0.5689428853
252	0.5686608744
253	0.568426656
254	0.5681635407
255	0.5679197163
256	0.5676935621
257	0.5674521095
258	0.5672625606
259	0.5670687819
260	0.5668496641
261	0.5666713813
262	0.5664045897
263	0.5661521477
264	0.5659421614
265	0.565685371
266	0.5654557777
267	0.5652603387
268	0.5649816879
269	0.5646869877
270	0.5644662491
271	0.564260216
272	0.5640160358
273	0.5637850588
274	0.5635462153
275	0.5633019561
276	0.56310964
277	0.5628932103
278	0.5626512439
279	0.5624742656
280	0.5622753875
281	0.56203014
282	0.5617888456
283	0.5615500811
284	0.5613021455
285	0.5610874552
286	0.5608763225
287	0.5606559793
288	0.5604491555
289	0.5602038685
290	0.5599822207
291	0.5597115156
292	0.5594940976
293	0.5592601559
294	0.5590484303
295	0.5588448875
296	0.5586218167
297	0.5584174043
298	0.5582046904
299	0.5579949809
300	0.5578139705
301	0.5576239077
302	0.5574129727
303	0.5572433076
304	0.5570452596
305	0.5568603358
306	0.5566238245
307	0.5564327734
308	0.5562145648
309	0.5560275854
310	0.5558553903
311	0.5557092854
312	0.5555211991
313	0.5553484507
314	0.5551788251
315	0.5549854417
316	0.554822141
317	0.5546284414
318	0.5544522933
319	0.5542743268
320	0.5540803899
321	0.5539155871
322	0.5537173414
323	0.5534762051
324	0.5533119953
325	0.5531375865
326	0.5529860264
327	0.552785488
328	0.5526266147
329	0.5524455253
330	0.552272263
331	0.5521093971
332	0.5519367673
333	0.5517414864
334	0.5515857756
335	0.5514470629
336	0.5512707567
337	0.5510920786
338	0.550919765
339	0.5507419962
340	0.5506063669
341	0.5504293491
342	0.5502884623
343	0.5500885168
344	0.5499201167
345	0.5497531792
346	0.5495903924
347	0.5494236131
348	0.5492124409
349	0.5490814367
350	0.5489088464
351	0.5487477199
352	0.5485400659
353	0.5483753422
354	0.5482188803
355	0.548067676
356	0.5479057984
357	0.5477325756
358	0.5475523954
359	0.5474009539
360	0.5472248453
361	0.5470648257
362	0.5468991532
363	0.5467550643
364	0.5466089595
365	0.5464558181
366	0.5462954032
367	0.5461800531
368	0.5460630427
369	0.5458806488
370	0.5457557718
371	0.5456102599
372	0.5454343885
373	0.5452776499
374	0.5451026877
375	0.5449582826
376	0.5448247485
377	0.5446673378
378	0.5445207586
379	0.5443901497
380	0.544225584
381	0.5440744983
382	0.5439441661
383	0.5438116202
384	0.5436083542
385	0.5434972733
386	0.543373266
387	0.5432287028
388	0.5430667067
389	0.542911747
390	0.5427682906
391	0.5426294989
392	0.5424954113
393	0.5423432978
394	0.542212926
395	0.5420313227
396	0.5418721728
397	0.5417139715
398	0.5415738753
399	0.5414517259
400	0.5413024586
401	0.541203316
402	0.5410883612
403	0.540947
404	0.5408676227
405	0.5407546444
406	0.5406672819
407	0.5405380961
408	0.5404283593
409	0.5402724508
410	0.5400963027
411	0.5399500002
412	0.5398320411
413	0.5397298941
414	0.5396356929
415	0.5395191568
416	0.5394284738
417	0.5392786925
418	0.5391780082
419	0.5390519849
420	0.5389316934
421	0.5388025472
422	0.5386683805
423	0.538552477
424	0.5384259002
425	0.5383292085
426	0.5381960696
427	0.538069809
428	0.5379250087
429	0.5378107259
430	0.5376873115
431	0.5375865482
432	0.5374475588
433	0.5373300345
434	0.5371838505
435	0.5370318161
436	0.5369355197
437	0.5367751838
438	0.5366539041
439	0.5365183143
440	0.5363908283
441	0.5362903417
442	0.5361872461
443	0.5360722517
444	0.5359715674
445	0.5358825842
446	0.5357448598
447	0.5356069772
448	0.5354671972
449	0.5353799138
450	0.5352456286
451	0.5351378683
452	0.5350335472
453	0.5349147184
454	0.5347978266
455	0.5346802232
456	0.5345483493
457	0.5344344223
458	0.5343477318
459	0.5342380741
460	0.534126598
461	0.5340112479
462	0.5339456667
463	0.5338225291
464	0.5336983636
465	0.5335974817
466	0.5334743836
467	0.5333686394
468	0.5332472806
469	0.533148731
470	0.5330055909
471	0.5328771562
472	0.5327731513
473	0.5326622681
474	0.5325714269
475	0.5324529144
476	0.5323671331
477	0.5322494112
478	0.5321654483
479	0.5320281982
480	0.5319217425
481	0.5318146543
482	0.5316787087
483	0.5315769966
484	0.5314845742
485	0.5313625039
486	0.5312411452
487	0.5311370217
488	0.5310321077
489	0.5309421361
490	0.530845563
491	0.5307288689
492	0.5306354582
493	0.530535525
494	0.5304488345
495	0.5303242738
496	0.5302207828
497	0.5300947595
498	0.5300060529
499	0.5299209041
500	0.5298516466
501	0.5297717949
502	0.5296664856
503	0.5295642201
504	0.5294817198
505	0.5293691368
506	0.5292545773
507	0.5291545255
508	0.5290584268
509	0.5289519315
510	0.5288458711
511	0.5287536463
512	0.5286754549
513	0.5285933104
514	0.5284991882
515	0.5283853798
516	0.5282799913
517	0.5281800581
518	0.528077595
519	0.5279659607
520	0.5278991936
521	0.5278057039
522	0.5277379486
523	0.5276131111
524	0.527521756
525	0.5274230087
526	0.5273111373
527	0.5272159478
528	0.5271178725
