iter	Passed	Remaining
552	571	462
553	572	461
554	574	460
555	575	459
556	576	458
557	577	457
558	579	456
559	580	456
560	582	455
561	583	454
562	585	454
563	587	453
564	588	452
565	588	451
566	589	450
567	590	449
568	592	448
569	593	447
570	594	446
571	595	445
572	597	445
573	600	445
574	601	444
575	602	443
576	603	442
577	605	442
578	606	440
579	607	439
580	608	438
581	609	438
582	611	437
583	612	436
584	614	435
585	615	434
586	616	433
587	617	432
588	618	431
589	619	430
590	620	429
591	621	428
592	622	427
593	623	426
594	624	425
595	625	424
596	627	423
597	628	422
598	629	421
599	630	420
600	631	419
601	632	418
602	633	417
603	634	416
604	636	415
605	637	414
606	638	413
607	639	412
608	640	411
609	641	410
610	643	409
611	644	408
612	645	407
613	646	406
614	647	405
615	648	404
616	649	402
617	650	401
618	651	400
619	652	399
620	653	398
621	654	397
622	655	396
623	656	395
624	658	394
625	659	393
626	660	392
627	661	391
628	662	390
629	663	389
630	664	388
631	666	387
632	667	386
633	668	385
634	669	384
635	670	383
636	671	382
637	672	381
638	673	380
639	674	379
640	675	378
641	676	377
642	677	375
643	678	374
644	679	373
645	680	372
646	681	371
647	682	370
648	683	369
649	684	368
650	685	367
651	686	366
652	686	365
653	687	363
654	688	362
655	689	361
656	690	360
657	691	359
658	693	358
659	693	357
660	694	356
661	695	355
662	696	354
663	697	353
664	698	351
665	699	350
666	700	349
667	701	348
668	702	347
669	703	346
670	704	345
671	705	344
672	706	343
673	707	342
674	708	341
675	709	340
676	710	339
677	711	337
678	712	336
679	713	335
680	714	334
681	715	333
682	716	332
683	717	331
684	718	330
685	719	329
686	720	328
687	721	327
688	722	326
689	723	324
690	724	323
691	725	322
692	725	321
693	726	320
694	727	319
695	728	318
696	729	317
697	730	316
698	731	315
699	732	313
700	733	312
701	734	311
702	735	310
703	736	309
704	737	308
705	737	307
706	738	306
707	739	305
708	740	303
709	741	302
710	742	301
711	743	300
712	744	299
713	745	298
714	746	297
715	747	296
716	748	295
717	748	294
718	750	293
719	751	292
720	751	290
721	752	289
722	753	288
723	755	287
724	756	286
725	757	285
726	758	284
727	759	283
728	760	282
729	761	281
730	762	280
731	763	279
732	764	278
733	765	277
734	766	276
735	767	275
736	768	274
737	769	273
738	770	272
739	771	271
740	773	270
741	774	269
742	775	268
743	776	267
744	777	266
745	779	265
746	780	264
747	781	263
748	782	262
749	783	261
750	785	260
751	786	259
752	788	258
753	789	257
754	790	256
755	791	255
756	792	254
757	793	253
758	794	252
759	795	251
760	796	250
761	798	249
762	800	248
763	804	248
764	805	247
765	807	246
766	808	245
767	809	244
768	812	244
769	814	243
770	816	242
771	818	241
772	819	240
773	820	239
774	831	241
775	832	240
776	834	239
777	840	239
778	856	243
779	859	242
780	860	241
781	866	241
782	868	240
783	870	239
784	872	238
785	873	237
786	875	236
787	876	235
788	877	234
789	878	233
790	879	232
791	880	231
792	882	230
793	883	229
794	884	228
795	885	226
796	886	225
797	887	224
798	889	223
799	890	222
800	891	221
801	894	220
802	896	219
803	898	219
804	899	217
805	901	216
806	902	215
807	903	214
808	904	213
809	905	212
810	906	211
811	907	210
812	908	208
813	909	207
814	910	206
815	914	206
816	916	205
817	917	204
818	919	203
819	920	202
820	921	200
821	924	200
822	925	199
823	926	197
824	927	196
825	928	195
826	929	194
827	930	193
828	931	192
829	932	190
830	933	189
831	934	188
832	937	187
833	938	186
834	939	185
835	941	184
836	942	183
837	943	182
838	944	181
839	946	180
840	947	179
841	948	177
842	949	176
843	950	175
844	951	174
845	954	173
846	955	172
847	957	171
848	958	170
849	959	169
850	960	168
851	961	167
852	962	165
853	963	164
854	964	163
855	965	162
856	967	161
857	970	160
858	973	159
859	974	158
860	975	157
861	976	156
862	977	155
863	978	154
864	979	152
865	981	151
866	982	150
867	984	149
868	988	149
869	990	147
870	992	147
871	994	145
872	995	144
873	996	143
874	997	142
875	998	141
876	1000	140
877	1003	139
878	1005	138
879	1007	137
880	1008	136
881	1009	135
882	1010	133
883	1011	132
884	1012	131
885	1014	130
886	1016	129
887	1018	128
888	1019	127
889	1020	126
890	1021	125
891	1023	123
892	1025	122
893	1026	121
894	1027	120
895	1028	119
896	1029	118
897	1030	117
898	1031	115
899	1032	114
900	1034	113
901	1035	112
902	1036	111
903	1038	110
904	1039	109
905	1040	107
906	1041	106
907	1042	105
908	1043	104
909	1044	103
910	1045	102
911	1046	100
912	1047	99
913	1048	98
914	1049	97
915	1051	96
916	1052	95
917	1053	94
918	1054	92
919	1055	91
920	1056	90
921	1057	89
922	1058	88
923	1059	87
924	1060	85
925	1061	84
926	1062	83
927	1063	82
928	1064	81
929	1065	80
930	1066	79
931	1068	77
932	1069	76
933	1070	75
934	1071	74
935	1072	73
936	1073	72
937	1074	71
938	1075	69
939	1076	68
940	1077	67
941	1078	66
942	1079	65
943	1080	64
944	1081	62
945	1082	61
946	1083	60
947	1084	59
948	1085	58
949	1086	57
950	1087	56
951	1088	54
952	1089	53
953	1090	52
954	1091	51
955	1092	50
956	1093	49
957	1094	47
958	1095	46
959	1097	45
960	1098	44
961	1099	43
962	1100	42
963	1101	41
964	1102	39
965	1103	38
966	1103	37
967	1104	36
968	1106	35
969	1107	34
970	1111	33
971	1115	32
972	1117	30
973	1118	29
974	1119	28
975	1121	27
976	1122	26
977	1123	25
978	1124	24
979	1125	22
980	1126	21
981	1128	20
982	1129	19
983	1131	18
984	1132	17
985	1133	16
986	1134	14
987	1135	13
988	1136	12
989	1137	11
990	1138	10
991	1139	9
992	1140	8
993	1142	6
994	1143	5
995	1145	4
996	1146	3
997	1148	2
998	1149	1
999	1150	0
